iter	Passed	Remaining
0	1715	1714181
1	1719	858245
2	1723	572848
3	1727	430202
4	1731	344659
5	1735	287578
6	1740	246861
7	1743	216255
8	1748	192481
9	1752	173499
10	1757	157976
11	1759	144849
12	1760	133694
13	1762	124127
14	1764	115861
15	1766	108643
16	1771	102425
17	1773	96738
18	1774	91631
19	1776	87031
20	1777	82870
21	1779	79089
22	1780	75634
23	1782	72468
24	1783	69553
25	1785	66892
26	1787	64405
27	1788	62098
28	1790	59948
29	1791	57937
30	1793	56055
31	1794	54292
32	1796	52636
33	1797	51076
34	1799	49605
35	1800	48222
36	1802	46907
37	1803	45661
38	1805	44478
39	1806	43356
40	1808	42290
41	1809	41274
42	1811	40306
43	1812	39381
44	1814	38508
45	1816	37663
46	1817	36854
47	1819	36077
48	1820	35332
49	1821	34616
50	1823	33929
51	1824	33268
52	1826	32632
53	1827	32023
54	1829	31436
55	1831	30866
56	1832	30318
57	1833	29786
58	1835	29272
59	1836	28776
60	1838	28300
61	1839	27836
62	1841	27387
63	1843	26954
64	1844	26536
65	1846	26126
66	1847	25731
67	1849	25345
68	1850	24970
69	1852	24607
70	1853	24253
71	1854	23908
72	1856	23580
73	1858	23260
74	1860	22948
75	1862	22641
76	1863	22342
77	1865	22052
78	1867	21767
79	1868	21491
80	1870	21221
81	1872	20962
82	1873	20703
83	1877	20473
84	1879	20233
85	1881	19994
86	1883	19761
87	1885	19541
88	1888	19335
89	1891	19124
90	1893	18911
91	1894	18700
92	1896	18494
93	1900	18321
94	1904	18142
95	1906	17950
96	1907	17761
97	1909	17577
98	1911	17394
99	1912	17216
100	1914	17045
101	1916	16874
102	1919	16712
103	1921	16558
104	1924	16403
105	1926	16247
106	1928	16091
107	1931	15952
108	1933	15806
109	1935	15660
110	1937	15514
111	1939	15375
112	1944	15259
113	1946	15129
114	1949	15003
115	1951	14868
116	1952	14733
117	1953	14603
118	1955	14477
119	1956	14350
120	1958	14226
121	1959	14102
122	1960	13981
123	1962	13863
124	1963	13747
125	1965	13634
126	1966	13520
127	1968	13410
128	1970	13302
129	1971	13194
130	1973	13088
131	1974	12985
132	1976	12881
133	1977	12782
134	1979	12682
135	1980	12583
136	1982	12485
137	1983	12389
138	1985	12295
139	1986	12202
140	1988	12111
141	1989	12018
142	1990	11929
143	1992	11842
144	1993	11755
145	1995	11670
146	1996	11585
147	1998	11502
148	1999	11419
149	2000	11338
150	2002	11257
151	2003	11178
152	2005	11100
153	2006	11023
154	2008	10948
155	2009	10873
156	2011	10798
157	2012	10725
158	2014	10652
159	2015	10581
160	2016	10507
161	2017	10437
162	2019	10369
163	2020	10301
164	2022	10235
165	2023	10168
166	2025	10102
167	2026	10037
168	2028	9972
169	2029	9909
170	2030	9846
171	2032	9783
172	2034	9723
173	2035	9662
174	2037	9604
175	2038	9544
176	2039	9485
177	2041	9427
178	2042	9370
179	2044	9313
180	2045	9256
181	2047	9201
182	2048	9146
183	2050	9092
184	2051	9038
185	2053	8985
186	2054	8933
187	2056	8880
188	2057	8829
189	2059	8778
190	2060	8728
191	2062	8679
192	2063	8629
193	2065	8580
194	2066	8532
195	2068	8484
196	2069	8436
197	2071	8388
198	2072	8341
199	2073	8295
200	2075	8249
201	2076	8204
202	2078	8159
203	2079	8114
204	2081	8071
205	2082	8027
206	2084	7983
